id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,4019,1,0,,,1,364
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Entire home/apt,8286,1,49,2020-10-25,0.44,10,364
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43778,-99.15549,Entire home/apt,650,4,60,2019-07-24,1.59,2,0
58955,Entire beautiful duplex in la Roma,282620,Laura,,Cuauhtémoc,19.42292,-99.15775,Entire home/apt,1447,15,42,2020-01-31,0.38,1,0
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41259,-99.17959,Private room,1206,2,52,2019-11-03,1.36,2,0
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41375,-99.17028,Entire home/apt,1909,4,39,2019-02-24,0.35,2,299
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1185,10,102,2020-03-09,0.95,3,139
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,3576,4,10,2019-10-05,0.18,2,334
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1366,1,0,,,3,0
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,4019,2,267,2020-11-03,2.33,4,338
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,249,4,71,2020-11-06,0.86,2,364
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1507,3,35,2019-11-18,0.33,1,365
187030,Colorful and spacious Apt. Family favorite,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1115,3,97,2019-09-29,0.87,4,166
